"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"19130","40_1022","21",275135.048611111,944.319329011912,21,NA,NA,275135.048611111,NA,NA,944.319329011912,NA,NA,17411.727613079,9747.3560702503,27.5135048611111,944.319329011912,0,159.154943091895,286.478897565412,286.478897565412,155.618166578742,42.4413181578388,14.1471060526129,0,0,18.4383895131086,10.3220973782772,19.2605452900201,11.875,101,40,1022,NA,921119,2,35,4,2,1,"S",921126,2,431,2,"0431M12","455","4560",92,191,"1","1","0","0","15",14,5,5,9,1,"00",90,21,0,9,1,4,NA,37,NA,1,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,25,37,3,6,NA,NA,NA,NA,NA,21,37,65,NA,NA,NA,NA,3,4,"W","20",NA,NA,NA,"1",1,3,NA,3,3,4,0,NA,NA,"01",140,NA,"8.50",NA,"IFN2",25,191,21,"19921119",1992,12
"19132","40_1032","21",246830.375,1223.72467355102,21,NA,NA,246830.375,NA,NA,1223.72467355102,NA,NA,19148.4617198629,10157.6221457761,24.6830375,1223.72467355102,0,254.647908947033,572.957795130823,381.971863420549,14.1471060526129,0,0,0,0,15.6476878612717,8.30057803468208,16.0255337263341,9.75806451612903,102,40,1032,NA,921120,2,33,6,1,2,"S",921126,2,431,2,"0431M12","455","4559",92,191,"1","1","0","0","17",16,5,5,9,1,"00",90,21,0,9,1,4,NA,37,NA,1,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,25,37,3,6,NA,NA,NA,NA,NA,21,37,NA,NA,NA,NA,NA,3,4,"W","19",NA,NA,NA,"1",1,3,NA,3,NA,0,0,NA,NA,"01",350,NA,"9.00",NA,"IFN2",25,191,21,"19921120",1992,12
"19134","40_1033","21",209444.861111111,1064.56973045912,21,NA,NA,209444.861111111,NA,NA,1064.56973045912,NA,NA,16321.5162528995,7798.59221150287,20.9444861111111,1064.56973045912,0,254.647908947033,477.464829275686,318.309886183791,14.1471060526129,0,0,0,0,15.331561461794,7.32558139534884,15.8271550573469,8.70967741935484,1089,40,1033,NA,920512,4,28,5,1,2,"S",920519,4,431,2,"0431M12","456","4559",92,191,"1","1","0","0","16",15,5,5,9,1,"00",70,21,0,8,1,4,NA,37,NA,2,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,25,37,3,6,NA,NA,NA,NA,NA,21,37,74,NA,NA,NA,NA,3,4,"W","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"01",260,NA,"9.25",NA,"IFN2",25,191,21,"19920512",1992,12
"19136","40_1038","21",237965.25,1336.90152197192,21,NA,NA,237965.25,NA,NA,1336.90152197192,NA,NA,19840.2552058357,12987.0433562987,23.796525,1336.90152197192,0,286.478897565412,859.436692696235,190.985931710274,0,0,0,0,0,14.8404761904762,9.71428571428572,15.0543539027277,10.5,1094,40,1038,NA,920512,2,36,4,1,1,"S",920519,4,431,2,"0431M11","453","4558",91,191,"1","1","0","0","15",15,5,5,9,1,"00",75,21,0,7,1,3,NA,37,NA,3,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,20,37,3,6,NA,NA,NA,NA,NA,21,37,NA,NA,NA,NA,NA,2,4,"W","18",NA,NA,NA,"1",1,3,NA,1,2,3,3,NA,NA,"01",0,NA,"10.00",NA,"IFN2",20,191,21,"19920512",1992,12
"19138","40_1039","21",225339,1655.21140815571,21,NA,NA,225339,NA,NA,1655.21140815571,NA,NA,21314.0299788666,12350.4235839311,22.5339,1655.21140815571,0,891.267681314614,668.45076098596,95.4929658551372,0,0,0,0,0,12.8769230769231,7.46153846153846,13.1657773149819,8.375,1095,40,1039,NA,920512,2,31,4,2,1,"S",920519,2,431,2,"0431M12","454","4558",91,191,"1","1","0","0","17",17,5,5,9,1,"00",80,21,0,7,1,3,NA,37,NA,3,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,16,37,3,6,NA,NA,NA,NA,NA,21,37,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,3,NA,1,NA,0,0,NA,"M713","G413",200,NA,"8.00",NA,"IFN2",16,191,21,"19920512",1992,12
"19148","40_1062","21",141534.4375,1018.59163578813,21,NA,NA,141534.4375,NA,NA,1018.59163578813,NA,NA,13170.0715408543,5634.0849854531,14.15344375,1018.59163578813,0,509.295817894065,413.802852038928,95.4929658551372,0,0,0,0,0,12.9296875,5.53125,13.3010543520053,6.875,104,40,1062,NA,921120,2,20,5,2,4,"S",921126,2,432,2,"0432J04","463","4574",91,195,"3","3","5","5","12",11,2,2,6,1,"20",65,21,0,9,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,28,NA,NA,NA,NA,NA,NA,NA,NA,21,37,43,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"P902",55,NA,"2.00",NA,"IFN2",28,195,21,"19921120",1992,12
"19166","40_1072","21",30641.75,509.295817894065,21,43,NA,30641.75,5852.25,NA,509.295817894065,127.323954473516,NA,5424.00046057179,2737.4650211806,3.6494,636.619772367581,0,636.619772367581,0,0,0,0,0,0,0,8.52,4.3,8.54330146957252,4,105,40,1072,NA,921120,2,5,4,2,1,"S",921126,2,432,2,"0432J08","473","4573",91,116,"3","3","0","0","12",12,2,5,9,1,"00",70,21,0,8,2,2,NA,43,NA,2,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,20,43,3,6,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,1,"W","10",NA,NA,NA,"2",1,2,NA,1,NA,0,0,NA,NA,"01",50,NA,"8.00",NA,"IFN2",20,116,21,"19921120",1992,12
"19178","40_1079","21",133330.729166667,562.347465591364,21,25,NA,133330.729166667,83694.6875,NA,562.347465591364,859.436692696235,NA,18788.4178708239,10912.7239313343,21.7025416666667,1421.7841582876,0,763.943726841098,350.14087480217,222.816920328653,84.8826363156775,0,0,0,0,13.2146766169154,7.67537313432836,13.9409870311605,9.09090909090909,1129,40,1079,NA,920512,2,30,6,4,4,"S",920519,2,432,2,"0432J10","478","4572",91,96,"5","5","0","0","14",14,4,4,9,1,"01",70,21,5,5,2,4,23,25,5,5,2,3,NA,NA,NA,NA,NA,NA,21,1,2,28,25,1,2,27,NA,NA,NA,NA,21,25,37,95,15,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"01",60,NA,"6.25",NA,"IFN2",28,96,21,"19920512",1992,12
"19184","40_1089","21",83048.75,332.456992236404,21,25,NA,83048.75,8055.0625,NA,332.456992236404,31.8309886183791,NA,6444.18364579084,2779.90633933844,9.11038125,364.287980854783,0,0,222.816920328653,127.323954473516,14.1471060526129,0,0,0,0,17.6898058252427,7.63106796116505,17.8443574340185,7.79032258064516,1138,40,1089,NA,920512,2,12,5,1,2,"S",920519,3,432,2,"0432K10","476","4571",91,116,"5","5","0","0","14",13,3,3,9,1,"01",60,21,5,8,2,3,23,25,5,2,2,3,NA,NA,NA,NA,NA,NA,21,1,2,32,25,1,2,35,NA,NA,NA,NA,21,25,37,45,43,NA,NA,2,1,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"01",135,NA,"2.50",NA,"IFN2",32,116,21,"19920512",1992,12
"19197","40_1116","21",8417.5625,63.6619772367581,21,NA,NA,8417.5625,NA,NA,63.6619772367581,NA,NA,826.014154646937,397.887357729738,0.84175625,63.6619772367581,0,0,63.6619772367581,0,0,0,0,0,0,12.975,6.25,12.9750240847561,6.25,1162,40,1116,NA,920512,2,2,2,1,2,"S",920519,3,432,2,"0432L02","457","4566",91,195,"3","3","5","5","12",12,1,1,9,1,"00",70,43,0,8,1,2,NA,21,NA,2,NA,2,NA,NA,NA,NA,NA,NA,43,3,6,NA,21,1,2,18,NA,NA,NA,NA,43,21,NA,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"P902",345,NA,"0.25",NA,"IFN2",18,195,21,"19920512",1992,12
